Timestamp,PositionX,PositionY,PositionZ,Speed,PathDeviation
6.180,-22.134,0.776,278.227,8.638,5.086
6.200,-22.299,0.725,278.221,8.702,5.220
6.220,-22.335,0.714,278.219,6.743,5.250
6.240,-22.467,0.759,278.213,7.174,5.359
6.260,-22.599,0.803,278.207,7.265,5.470
6.280,-22.733,0.845,278.201,7.293,5.582
6.300,-22.871,0.883,278.194,7.476,5.700
6.320,-23.015,0.916,278.187,7.343,5.823
6.340,-23.158,0.941,278.181,7.231,5.946
6.360,-23.300,0.959,278.174,7.141,5.836
6.380,-23.441,0.968,278.168,7.072,5.723
6.400,-23.581,0.970,278.161,7.025,5.611
6.420,-23.721,0.964,278.155,7.000,5.502
6.440,-23.860,0.950,278.148,6.998,5.394
6.460,-23.989,0.934,278.143,6.900,5.295
6.480,-24.131,0.921,278.137,7.457,5.188
6.500,-24.278,0.901,278.130,7.702,5.079
6.520,-24.429,0.875,278.124,7.957,4.968
6.540,-24.585,0.843,278.118,8.213,4.857
6.560,-24.745,0.807,278.111,8.475,4.745
6.580,-24.909,0.766,278.104,8.517,4.633
6.600,-25.072,0.718,278.098,8.576,4.525
6.620,-25.234,0.664,278.091,8.821,4.421
6.640,-25.321,0.638,278.088,7.007,4.367
6.660,-25.454,0.704,278.082,7.714,4.286
6.680,-25.593,0.764,278.075,7.838,4.205
6.700,-25.735,0.822,278.069,7.950,4.124
6.720,-25.882,0.872,278.062,8.086,4.045
6.740,-26.035,0.914,278.056,8.228,3.967
6.760,-26.193,0.953,278.049,8.087,3.891
6.780,-26.350,0.983,278.042,7.964,3.820
6.800,-26.506,1.005,278.035,7.861,3.755
6.820,-26.661,1.020,278.028,7.778,3.695
6.840,-26.815,1.026,278.021,7.715,3.642
6.860,-26.968,1.025,278.014,7.672,3.594
6.880,-27.120,1.016,278.008,7.650,3.553
6.900,-27.272,0.999,278.001,7.647,3.518
6.920,-27.422,0.974,277.994,7.664,3.490
6.940,-27.571,0.945,277.988,7.899,3.468
6.960,-27.725,0.912,277.981,7.934,3.452
6.980,-27.878,0.872,277.975,7.986,3.442
7.000,-28.031,0.824,277.968,8.055,3.440
7.020,-28.182,0.768,277.962,8.142,3.444
7.040,-28.333,0.705,277.955,8.244,3.455
7.060,-28.481,0.637,277.949,8.441,3.472
7.080,-28.631,0.578,277.943,8.428,3.495
7.100,-28.779,0.571,277.936,8.018,3.524
7.120,-28.941,0.561,277.929,8.511,3.563
7.140,-29.107,0.568,277.924,8.615,3.608
7.160,-29.274,0.572,277.918,8.669,3.661
7.180,-29.448,0.577,277.911,9.043,3.724
7.200,-29.623,0.583,277.904,9.067,3.795
7.220,-29.804,0.590,277.897,9.309,3.874
7.240,-29.989,0.597,277.890,9.496,3.963
7.260,-30.178,0.603,277.883,9.723,4.060
7.280,-30.371,0.608,277.875,9.880,4.165
7.300,-30.567,0.612,277.868,10.075,4.279
7.320,-30.767,0.614,277.860,10.235,4.401
7.340,-30.971,0.616,277.852,10.416,4.531
7.360,-31.178,0.617,277.844,10.574,4.668
7.380,-31.388,0.617,277.836,10.740,4.812
7.400,-31.601,0.617,277.828,10.893,4.964
7.420,-31.817,0.617,277.819,11.049,5.122
7.440,-32.036,0.616,277.810,11.195,5.287
7.460,-32.258,0.615,277.801,11.342,5.457
7.480,-32.483,0.615,277.792,11.481,5.634
7.500,-32.710,0.614,277.783,11.619,5.816
7.520,-32.940,0.614,277.774,11.751,6.003
7.540,-33.173,0.614,277.765,11.881,6.177
7.560,-33.409,0.613,277.755,12.006,5.994
7.580,-33.647,0.613,277.746,12.129,5.813
7.600,-33.887,0.613,277.736,12.247,5.635
7.620,-34.130,0.613,277.726,12.362,5.460
7.640,-34.375,0.613,277.716,12.474,5.288
7.660,-34.622,0.613,277.706,12.582,5.121
7.680,-34.872,0.613,277.696,12.687,4.960
7.700,-35.123,0.613,277.686,12.789,4.805
7.720,-35.377,0.613,277.676,12.888,4.657
7.740,-35.632,0.613,277.666,12.984,4.517
7.760,-35.890,0.613,277.655,13.077,4.387
7.780,-36.149,0.613,277.645,13.168,4.268
7.800,-36.410,0.613,277.634,13.255,4.161
7.820,-36.673,0.613,277.623,13.340,4.067
7.840,-36.937,0.613,277.613,13.422,3.988
